MIN;AVG;MAX
19;73;200
3;37;153
7;36;56
9;59;200
6;27;82
7;23;72
8;25;75
8;25;78
8;24;73
7;21;63
7;26;88
3;43;90
5;14;21
5;15;20
3;30;74
3;34;95
8;41;85
8;22;64
4;17;75
4;12;21
6;15;23
8;33;90
5;27;79
5;38;89
8;25;71
8;25;75
5;13;29
3;11;20
6;30;83
7;26;71
8;23;70
8;24;71
8;25;77
8;26;70
6;26;82
7;14;20
8;15;21
6;32;83
7;26;73
6;21;43
7;30;79
7;23;64
7;28;80
7;20;55
6;30;78
8;27;70
5;16;31
6;15;20
6;13;20
7;31;87
3;15;30
3;38;87
6;18;44
8;15;20
10;15;21
5;35;86
7;26;74
6;25;88
7;23;61
3;27;93
10;29;80
6;16;31
6;30;72
4;35;105
6;16;31
3;12;16
14;19;24
10;23;62
8;23;32
8;25;74
6;22;38
3;14;20
8;13;22
8;25;72
7;21;53
6;23;54
7;16;35
6;20;50
3;36;96
6;10;15
3;11;23
10;29;123
8;26;83
8;25;55
8;25;56
8;24;31
8;24;33
8;24;33
8;24;32
8;24;31
7;20;32
15;18;26
13;17;23
8;31;98
8;24;31
8;22;32
14;18;24
13;18;25
11;31;89
8;24;32
8;24;33
8;24;31
6;24;35
7;26;71
10;12;19
6;19;69
8;16;32
7;15;47
8;17;32
7;20;35
6;27;91
5;27;72
5;31;98
