MIN;AVG;MAX
3;142;200
8;28;70
6;21;61
7;22;51
9;18;37
9;21;65
8;43;87
20;49;92
20;52;91
22;51;91
8;50;87
9;31;71
9;27;64
8;26;66
10;22;66
8;27;74
8;24;59
10;25;60
8;27;77
10;24;55
10;27;68
9;25;67
9;24;71
16;55;94
28;51;95
21;54;101
22;52;91
21;53;92
22;52;93
21;52;83
10;35;87
9;23;64
9;25;57
8;23;58
11;51;91
21;56;103
21;54;90
23;54;90
28;54;110
20;54;98
22;56;104
22;54;98
4;50;97
14;57;98
22;55;105
21;55;89
25;54;88
4;49;83
11;50;89
11;47;89
5;49;96
14;16;22
13;23;39
15;25;41
14;27;43
15;25;39
15;26;39
10;26;40
11;60;108
10;50;99
8;25;48
8;27;62
8;29;74
8;28;65
9;22;44
8;30;55
8;27;52
8;27;64
8;28;62
8;28;59
6;29;63
8;28;53
8;29;53
8;29;55
9;32;62
9;28;59
8;27;55
7;27;56
8;27;56
8;27;54
9;27;59
8;30;66
7;27;63
8;28;54
8;27;60
8;27;48
8;30;59
8;29;58
8;30;63
9;30;58
8;31;60
8;28;89
10;25;52
10;22;49
13;21;33
9;25;52
11;23;49
13;20;35
10;21;32
13;24;56
10;23;46
9;23;49
11;26;53
10;24;48
9;25;49
11;23;52
8;29;53
8;22;47
10;38;67
17;54;77
